surprisal	artpres	noun	verb	verbdeentr	denounentr	verbhetentr	hetnounentr	verbeenentr	eennounentr
16.10997875394898	NOART	freq1	is	0.07368176	0.02766631	0.0629354	0.01141385	0.08628295	0.0100566
0.5856947099621008	NOART	zich	bemoeit	0.006916577	0.01518256	0.002853464	0.007348235	0.002514151	0.01889217
15.825426315963243	NOART	freq1	is	0.07368176	0.01563748	0.0629354	0.006451308	0.08628295	0.01501883
4.192954292990517	NOART	jubileum	viert	0.01858185	0.01798311	0.0257958	0.007419004	0.006754433	0.006536795
11.034813864251305	NOART	justitie	zet	0.06094176	0.01422392	0.01915786	0.01273084	0.01026514	0.006383326
10.539591035724369	NOART	operatie	begint	0.03785237	0.01585752	0.0522282	0.006542086	0.02375511	0.008382411
8.288230941264409	NOART	staal	verkoopt	0.01598498	0.01106653	0.006594671	0.004565541	0.006605657	0.004022641
7.837275749380853	NOART	ereschuld	lost	0.04490317	0.02766631	0.07505767	0.01141385	0.007123424	0.0100566
4.056243489442623	NOART	zich	sluit	0.0405658	0.01518256	0.006397282	0.007348235	0.0145668	0.01889217
2.2441826332957815	NOART	hij	freq1	0.02766631	0.07774939	0.01141385	0.04168176	0.0100566	0.04233368
5.420197637942363	NOART	wind	trotseert	0.05152156	0.01399216	0.01141385	0.008240298	0.0100566	0.005086097
8.694063406233731	NOART	freq1	drukt	0.05221472	0.02766631	0.006297299	0.01141385	0.008016262	0.0100566
10.497947243797542	NOART	Taylor	brengen	0.02682193	0.01642688	0.002714044	0.006776975	0.003090652	0.005971107
1.1267638375841746	NOART	brand	sticht	0.01383316	0.0071757	0.005706926	0.002960366	0.03186544	0.00260834
6.061718363987099	NOART	zich	moet	0.05157093	0.01518256	0.03686694	0.007348235	0.02746667	0.01889217
7.541972719830283	NOART	dit	is	0.07368176	0.02112375	0.0629354	0.01008426	0.08628295	0.02186261
13.620216953508473	NOART	ploeg	heeft	0.09671682	0.01484534	0.04973064	0.007870007	0.06107888	0.005396227
10.391794998627091	NOART	kandidatuur	stellen	0.03331447	0.01844421	0.003985171	0.007609235	0.007135083	0.07418755
13.96086489681749	NOART	freq1	wil	0.03567796	0.01844421	0.02007738	0.007609235	0.01564678	0.006704401
2.1796015807830105	NOART	ik	heb	0.03096713	0.03950345	0.04120102	0.03619421	0.0376939	0.04063049
8.256034000997218	NOART	rechtszaak	wint	0.02459564	0.01152763	0.01992769	0.004755772	0.004401299	0.004190251
9.63177786562548	NOART	oppositie	steunt	0.05058515	0.0266638	0.05030718	0.006565491	0.008615293	0.005784771
4.091801584513957	NOART	man	dode	0.01407584	0.009950845	0.005807047	0.005018916	0.005116516	0.007167885
2.196902605253595	NOART	zich	voelen	0.02210548	0.01518256	0.003844666	0.007348235	0.003387487	0.01889217
3.5134573706670884	NOART	rechten	schendt	0.03314164	0.01059561	0.00901094	0.004371262	0.007939426	0.003851467
13.717038451587939	NOART	duister	moet	0.05157093	0.01844421	0.03686694	0.007609235	0.02746667	0.006704401
6.083798667152013	NOART	dat	freq1	0.02151824	0.1595786	0.00887744	0.07664838	0.0078218	0.02542202
16.10997875394898	ART	freq1	is	0.07368176	0.02766631	0.0629354	0.01141385	0.08628295	0.0100566
6.303544598327248	NOART	zich	werkt	0.02761977	0.01518256	0.008333723	0.007348235	0.004546802	0.01889217
2.2898702862973823	NOART	zich	bereiden	0.01690719	0.01518256	0.006975135	0.007348235	0.006145703	0.01889217
6.061718363987099	NOART	zich	moet	0.05157093	0.01518256	0.03686694	0.007348235	0.02746667	0.01889217
11.686513167555463	NOART	freq1	geeft	0.06526675	0.02766631	0.03657505	0.01141385	0.04163811	0.0100566
1.4780346732782645	NOART	we	Kunnen	0.03141239	0.06076688	0.006145919	0.04567178	0.005415092	0.03456981
12.63296706832635	NOART	plekje	krijgt	0.03548321	0.01702542	0.01856295	0.007023908	0.0466247	0.006188677
6.942962515834556	NOART	Irakbeleid	straffen	0.01403156	0.09000985	0.004953182	0.007609235	0.004364187	0.006704401
11.678328065546195	NOART	freq1	geeft	0.06526675	0.02766631	0.03657505	0.01141385	0.04163811	0.0100566
10.63775048536282	NOART	zondag	mogen	0.04722881	0.007557002	0.006338579	0.003117674	0.008379208	0.01762979
6.434850831013731	NOART	boete	krijgt	0.03548321	0.007114193	0.01856295	0.002934991	0.0466247	0.002585984
11.926040577270777	NOART	freq1	wint	0.02459564	0.02766631	0.01992769	0.01141385	0.004401299	0.0100566
10.531189467894384	NOART	import	blijft	0.04805736	0.01844421	0.02625862	0.007609235	0.03500258	0.006704401
2.317497176206186	NOART	moord	bekent	0.01486203	0.00665581	0.005439416	0.002745883	0.004792599	0.002419363
8.478553671043768	NOART	raad	verlaat	0.03964478	0.01207257	0.02574471	0.004980591	0.008601041	0.004388336
9.828489310995455	NOART	uitstel	wil	0.03567796	0.01601734	0.02007738	0.006608022	0.01564678	0.005822245
6.250044634104068	NOART	Algerije	freq1	0.01902059	0.01666222	0.007847025	0.005626548	0.006913915	0.00495748
7.9872474283883585	NOART	freq1	belooft	0.02805582	0.01227015	0.03242866	0.004415578	0.03124733	0.00389051
11.92727000011111	NOART	freq1	wint	0.02459564	0.02766631	0.01992769	0.01141385	0.004401299	0.0100566
13.754532206204154	NOART	freq1	moet	0.05157093	0.02766631	0.03686694	0.01141385	0.02746667	0.0100566
10.08364633544111	NOART	Congo	helpen	0.02652424	0.01131013	0.004429463	0.006016334	0.004011852	0.01175079
9.121579431840326	NOART	premier	zegt	0.09655973	0.01650619	0.03665945	0.005057863	0.02428471	0.007026677
9.70442798740303	NOART	verzoek	wijst	0.04659776	0.01168988	0.0251646	0.006272405	0.006348581	0.003352201
